ID,PAYS,PROVINCE,CPROV_SNIS,DIST_ADM,CDA_SNIS,TERRITOIRE,CTER_SNIS,DIST_SA,NOM_ZS,CZS_SNIS,SCE_GEO,Cde_ZS_PUC,Cde_DS_PUC,Nom_DS_PUC,Nom_ZS_PUC,Area,Pop,PopDensity
129,RDC,Kasai Oriental,11,Sankuru,1103,KATAKO KOMBE,110301,Sankuru,Wembo Nyama,11030103,OMS,11030103,1103,Sankuru,Wembo Nyama,3897.07005559000,71278.00000000000,18.29
120,RDC,Kasai Oriental,11,Sankuru,1103,KOLE,110302,Sankuru,Kole,11030202,OMS,11030202,1103,Sankuru,Kole,3366.46406661000,0.00000000000,0.00
13,RDC,Kasai Oriental,11,Sankuru,1103,LUSAMBO,110306,Sankuru,Pania Mutombo,11030602,OMS,11030602,1103,Sankuru,Pania Mutombo,4894.30791901000,0.00000000000,0.00
17,RDC,Kasai Oriental,11,Sankuru,1103,LUBEFU,110305,Sankuru,Minga,11030502,OMS,11030501,1103,Sankuru,Minga,6624.57887391000,0.00000000000,0.00
84,RDC,Kasai Oriental,11,Sankuru,1103,LUSAMBO,110306,Sankuru,Lusambo,11030601,OMS,11030601,1103,Sankuru,Lusambo,3786.38316053000,0.00000000000,0.00
130,RDC,Kasai Oriental,11,Sankuru,1103,LUBEFU,110305,Sankuru,Dikungu Tshumbe,11030501,OMS,11030104,1103,Sankuru,Dikungu,2746.47759182000,,
124,RDC,Kasai Oriental,11,Sankuru,1103,LODJA,110303,Sankuru,Vanga Kete,11030303,OMS,11030303,1103,Sankuru,Vanga Kete,5817.51316053000,0.00000000000,0.00
125,RDC,Kasai Oriental,11,Sankuru,1103,LODJA,110303,Sankuru,Lodja,11030301,OMS,11030304,1103,Sankuru,Lodja,3283.02181558000,,
127,RDC,Kasai Oriental,11,Sankuru,1103,LODJA,110303,Sankuru,Omendjadi,11030302,OMS,11030302,1103,Sankuru,Omendjadi,2353.99876031000,0.00000000000,0.00
128,RDC,Kasai Oriental,11,Sankuru,1103,KATAKO KOMBE,110301,Sankuru,Djalo Djeka,11030101,OMS,11030101,1103,Sankuru,Djalo Djeka,14615.91522780000,67713.00000000000,4.63
128,RDC,Kasai Oriental,11,Sankuru,1103,KATAKO KOMBE,110301,Sankuru,Katako Kombe,11030102,OMS,11030102,1103,Sankuru,Katako Kombe,7425.06921382000,113792.00000000000,15.33
0,RDC,Kasai Oriental,11,Sankuru,1103,LOMELA,110304,Sankuru,Tshudi Loto,11030402,OMS,11030402,1103,Sankuru,Tshudi Loto,14700.28924540000,0.00000000000,0.00
0,RDC,Kasai Oriental,11,Sankuru,1103,Kole,110302,Sankuru,Bena Dibele,11030201,OMS,11030201,1103,Sankuru,Bena Dibele,13526.97995360000,30375.00000000000,2.25
0,RDC,Kasai Oriental,11,Kabinda,1101,Kamiji,110102,MweneDitu,Kamiji,11010201,Div_snis,1105B0201,1105,Mwene Ditu,Kamiji,1314.12364825000,85746.00000000000,65.25
0,RDC,Kasai Oriental,11,Tshilenge,1104,Katanda,110402,Tshilenge,Tshitenge,11040202,Div_snis,11040202,1104,Tshilenge,Tshitenge,227.95770835700,204380.00000000000,896.57
0,RDC,Kasai Oriental,11,Tshilenge,1104,Miabi,110404,Tshilenge,Miabi,11040402,Div_snis,11040402,1104,Tshilenge,Miabi,452.16032658300,129481.00000000000,286.36
0,RDC,Kasai Oriental,11,Kabinda,1101,Ngandajika,110105,Kabinda,Ngandajika,11010501,Div_snis,11010501,1101,Kabinda,Ngandajika,896.18675226300,274537.00000000000,306.34
0,RDC,Kasai Oriental,11,Kabinda,1101,Ngandajika,110105,Kabinda,Mulumba,11010503,Div_snis,11010503,1101,Kabinda,Mulumba,877.05610292300,253799.00000000000,289.38
0,RDC,Kasai Oriental,11,Tshilenge,1104,Tshilenge,110405,Tshilenge,Tshilenge,11040502,Div_snis,11040502,1104,Tshilenge,Tshilenge,573.80575349000,262864.00000000000,458.11
0,RDC,Kasai Oriental,11,Tshilenge,1104,Miabi,110404,Tshilenge,Cilundu,11040401,Div_snis,11040401,1104,Tshilenge,Cilundu,1256.74265547000,161913.00000000000,128.84
0,RDC,Kasai Oriental,11,Kabinda,1101,Lubao,110103,Kabinda,Lubao,11010302,Div_snis,11010302,1101,Kabinda,Lubao,7633.42502372000,182392.00000000000,23.89
0,RDC,Kasai Oriental,11,Kabinda,1101,Kabinda,110101,Kabinda,Kalonda Est,11010102,Div_snis,11010102,1101,Kabinda,Kalonda Est,4132.88607655000,200192.00000000000,48.44
0,RDC,Kasai Oriental,11,Kabinda,1101,Kabinda,110101,Kabinda,Kabinda,11010101,Div_snis,11010101,1101,Kabinda,Kabinda,5756.44965245000,242942.00000000000,42.20
0,RDC,Kasai Oriental,11,Kabinda,1101,Kabinda,110101,Kabinda,Ludimbi Lukula,11010103,Div_snis,11010103,1101,Kabinda,Ludimbi Lukula,5497.15547650000,134266.00000000000,24.42
0,RDC,Kasai Oriental,11,Kabinda,1101,Ngandajika,110105,Kabinda,Kalambayi Kabanga,11010502,Div_snis,11010502,1101,Kabinda,Kalambayi Kabanga,3942.97338015000,136377.00000000000,34.59
0,RDC,Kasai Oriental,11,MweneDitu,1105,Bondoyi,110503,MweneDitu,Makota,11050301,Div_snis,1105A0301,1105,Mwene Ditu,Makota,65.28752025210,207253.00000000000,3174.40
0,RDC,Kasai Oriental,11,MweneDitu,1105,MweneDitu,110502,MweneDitu,Mwene Ditu,11050201,Div_snis,1105A0201,1105,Mwene Ditu,Mwene Ditu,381.95513662400,373535.00000000000,977.96
0,RDC,Kasai Oriental,11,Kabinda,1101,Luilu,110104,MweneDitu,Wikong,11010406,Div_snis,1105B0404,1105,Mwene Ditu,Wikong,725.86306559800,104835.00000000000,144.43
